PETROBRAS TRANSPORTE S.A - TRANSPETRO EDITAL Nº 01 - 
TRANSPETRO/PSP/TERRA/NÍVELMÉDIO-2023. 
 
 
                RESPOSTAS AOS RECURSOS ( Provas realizadas em 29/09/2023) 
 
                                      Conhecimentos Específicos 
                
√      Prova 2  -  Dutos e Terminais                    
                  •   Questão 49   -  Gabarito Alterado  -  A resposta correta é ( E ) 
√      Prova 6   -   Manutenção -  Elétrica 
                  •   Questão 28   -   Anulada 
                  •   Questão 30   -   Anulada 
√      Prova 7   -   Manutenção Eletrônica 
                  •   Questão 42  -   Anulada 
 √      Prova 8   -   Manutenção -  Instrumentação 
                       •   Questão 48  -   Anulada 
√      Prova 9   -   Manutenção -  Mecânica              
                  •   Questão 22  -   Anulada 
√      Prova 10  -   Projeto, Construção e Montagem  -  Edificações                    
                  •   Questão 45  -   Anulada 
√      Prova 13  -   Segurança   
                  •   Questão 30  -  Gabarito Alterado  -  A resposta correta é (E) 
 
        Nas provas de números 1, 3, 4, 5, 11 e 12 não houve questões anuladas nem 
gabaritos alterados. 

              
PROCESSO SELETIVO PÚBLICO – EDITAL No 1 – TRANSPETRO/PSP/TERRA/NÍVEL MÉDIO – 2023.1 DE 29/09/2023 
Gabarito – Provas Terra 
Nível Médio – 1 a 13 
 
CONHECIMENTOS BÁSICOS 
Língua Portuguesa 
1 - A 
2 - E 
3 - A 
4 - E 
5 - D 
6 - B 
7 - C 
8 - C 
9 - D 
10 - A 
Matemática 
11 - A 
12 - A 
13 - E 
14 - B 
15 - E 
16 - B 
17 - E 
18 - B 
19 - D 
20 - D 
 
CONHECIMENTOS ESPECÍFICOS 
PROVA 1 
Ambiental 
PROVA 2 
Dutos e Terminais 
PROVA 3 
Faixa de Dutos 
PROVA 4 
Informática 
21 - A 
41 - D 
21 - E 
41 - E 
21 - E 
41 - B 
21 - C 
41 - E 
22 - A 
42 - D 
22 - B 
42 - A 
22 - D 
42 - C 
22 - D 
42 - D 
23 - D 
43 - E 
23 - D 
43 - D 
23 - B 
43 - C 
23 - C 
43 - A 
24 - C 
44 - A 
24 - A 
44 - C 
24 - B 
44 - E 
24 - E 
44 - A 
25 - B 
45 - C 
25 - C 
45 - D 
25 - C 
45 - B 
25 - D 
45 - C 
26 - B 
46 - C 
26 - B 
46 - B 
26 - A 
46 - E 
26 - A 
46 - B 
27 - E 
47 - A 
27 - D 
47 - E 
27 - C 
47 - A 
27 - C 
47 - E 
28 - C 
48 - C 
28 - B 
48 - A 
28 - C 
48 - B 
28 - C 
48 - A 
29 - E 
49 - D 
29 - E 
49 - C 
29 - D 
49 - A 
29 - C 
49 - E 
30 - E 
50 - B 
30 - D 
50 - C 
30 - C 
50 - C 
30 - B 
50 - D 
31 - C 
51 - A 
31 - B 
51 - D 
31 - C 
51 - D 
31 - A 
51 - B 
32 - D 
52 - B 
32 - D 
52 - B 
32 - A 
52 - A 
32 - D 
52 - D 
33 - A 
53 - E 
33 - D 
53 - D 
33 - A 
53 - D 
33 - E 
53 - C 
34 - C 
54 - C 
34 - D 
54 - E 
34 - B 
54 - E 
34 - B 
54 - A 
35 - E 
55 - B 
35 - A 
55 - B 
35 - E 
55 - C 
35 - A 
55 - E 
36 - B 
56 - B 
36 - C 
56 - C 
36 - E 
56 - D 
36 - A 
56 - C 
37 - C 
57 - D 
37 - D 
57 - C 
37 - B 
57 - E 
37 - C 
57 - B 
38 - D 
58 - A 
38 - D 
58 - A 
38 - B 
58 - B 
38 - D 
58 - E 
39 - B 
59 - D 
39 - D 
59 - D 
39 - E 
59 - B 
39 - B 
59 - B 
40 - E 
60 - A 
40 - D 
60 - E 
40 - E 
60 - D 
40 - E 
60 - C 
 
 

              
PROCESSO SELETIVO PÚBLICO – EDITAL No 1 – TRANSPETRO/PSP/TERRA/NÍVEL MÉDIO – 2023.1 DE 29/09/2023 
Gabarito – Provas Terra 
Nível Médio – 1 a 13 
 
 
CONHECIMENTOS ESPECÍFICOS 
PROVA 5 
Inspeção de Equipamentos 
e Instalações 
PROVA 6 
Manutenção - Elétrica 
PROVA 7 
Manutenção - Eletrônica 
PROVA 8 
Manutenção - 
Instrumentação 
21 - A 
41 - B 
21 - C 
41 - D 
21 - A 
41 - E 
21 - B 
41 - C 
22 - C 
42 - A 
22 - A 
42 - C 
22 - B 
42 - C 
22 - E 
42 - A 
23 - C 
43 - B 
23 - C 
43 - D 
23 - D 
43 - C 
23 - B 
43 - B 
24 - C 
44 - A 
24 - A 
44 - A 
24 - C 
44 - B 
24 - E 
44 - D 
25 - A 
45 - B 
25 - B 
45 - A 
25 - E 
45 - B 
25 - C 
45 - B 
26 - E 
46 - B 
26 - B 
46 - C 
26 - E 
46 - C 
26 - C 
46 - C 
27 - E 
47 - D 
27 - D 
47 - E 
27 - C 
47 - B 
27 - C 
47 - A 
28 - A 
48 - A 
28 - C 
48 - C 
28 - D 
48 - D 
28 - E 
48 - C 
29 - B 
49 - C 
29 - B 
49 - C 
29 - A 
49 - C 
29 - A 
49 - B 
30 - A 
50 - D 
30 - E 
50 - E 
30 - E 
50 - C 
30 - D 
50 - D 
31 - C 
51 - E 
31 - D 
51 - A 
31 - E 
51 - A 
31 - A 
51 - E 
32 - D 
52 - C 
32 - A 
52 - D 
32 - B 
52 - D 
32 - D 
52 - A 
33 - E 
53 - D 
33 - E 
53 - A 
33 - C 
53 - D 
33 - D 
53 - A 
34 - D 
54 - B 
34 - B 
54 - B 
34 - D 
54 - D 
34 - D 
54 - B 
35 - C 
55 - E 
35 - E 
55 - E 
35 - D 
55 - B 
35 - B 
55 - D 
36 - B 
56 - C 
36 - D 
56 - C 
36 - A 
56 - B 
36 - C 
56 - D 
37 - C 
57 - A 
37 - E 
57 - E 
37 - D 
57 - D 
37 - E 
57 - B 
38 - B 
58 - E 
38 - D 
58 - A 
38 - D 
58 - B 
38 - C 
58 - A 
39 - A 
59 - D 
39 - D 
59 - D 
39 - A 
59 - D 
39 - B 
59 - E 
40 - E 
60 - D 
40 - B 
60 - E 
40 - A 
60 - C 
40 - C 
60 - C 
 
 
 
 
 
 
 
 

              
PROCESSO SELETIVO PÚBLICO – EDITAL No 1 – TRANSPETRO/PSP/TERRA/NÍVEL MÉDIO – 2023.1 DE 29/09/2023 
Gabarito – Provas Terra 
Nível Médio – 1 a 13 
 
CONHECIMENTOS ESPECÍFICOS 
PROVA 9 
Manutenção - Mecânica 
PROVA 10 
Projeto, Construção e 
Montagem - Edificações 
PROVA 11 
Projeto, Construção e 
Montagem - Mecânica 
PROVA 12 
Química do Petróleo 
21 - C 
41 - A 
21 - C 
41 - E 
21 - A 
41 - A 
21 - D 
41 - C 
22 - D 
42 - C 
22 - C 
42 - B 
22 - A 
42 - B 
22 - B 
42 - B 
23 - B 
43 - D 
23 - E 
43 - D 
23 - C 
43 - E 
23 - E 
43 - A 
24 - C 
44 - E 
24 - C 
44 - A 
24 - B 
44 - C 
24 - C 
44 - A 
25 - B 
45 - C 
25 - A 
45 - E 
25 - B 
45 - A 
25 - A 
45 - E 
26 - E 
46 - B 
26 - C 
46 - C 
26 - E 
46 - D 
26 - D 
46 - C 
27 - E 
47 - C 
27 - C 
47 - E 
27 - D 
47 - C 
27 - D 
47 - C 
28 - B 
48 - A 
28 - B 
48 - C 
28 - C 
48 - B 
28 - E 
48 - A 
29 - C 
49 - E 
29 - D 
49 - C 
29 - D 
49 - D 
29 - C 
49 - B 
30 - E 
50 - A 
30 - B 
50 - B 
30 - B 
50 - E 
30 - A 
50 - B 
31 - E 
51 - A 
31 - D 
51 - D 
31 - B 
51 - E 
31 - C 
51 - E 
32 - A 
52 - B 
32 - B 
52 - B 
32 - B 
52 - A 
32 - B 
52 - B 
33 - A 
53 - E 
33 - E 
53 - D 
33 - E 
53 - D 
33 - D 
53 - B 
34 - E 
54 - C 
34 - C 
54 - D 
34 - D 
54 - B 
34 - B 
54 - C 
35 - D 
55 - C 
35 - B 
55 - D 
35 - A 
55 - B 
35 - C 
55 - C 
36 - D 
56 - C 
36 - D 
56 - D 
36 - D 
56 - D 
36 - D 
56 - A 
37 - B 
57 - A 
37 - D 
57 - A 
37 - C 
57 - B 
37 - B 
57 - D 
38 - D 
58 - D 
38 - A 
58 - D 
38 - D 
58 - E 
38 - E 
58 - D 
39 - C 
59 - B 
39 - B 
59 - A 
39 - A 
59 - D 
39 - B 
59 - A 
40 - D 
60 - C 
40 - E 
60 - D 
40 - E 
60 - B 
40 - C 
60 - A 
 
CONHECIMENTOS ESPECÍFICOS 
PROVA 13 - Segurança 
21 - D 
22 - A 
23 - D 
24 - B 
25 - D 
26 - A 
27 - E 
28 - B 
29 - E 
30 - D 
31 - B 
32 - C 
33 - D 
34 - C 
35 - C 
36 - D 
37 - D 
38 - C 
39 - C 
40 - A 
41 - E 
42 - D 
43 - B 
44 - E 
45 - D 
46 - D 
47 - E 
48 - C 
49 - B 
50 - E 
51 - C 
52 - B 
53 - A 
54 - E 
55 - E 
56 - B 
57 - E 
58 - E 
59 - C 
60 - B 
 
